ZTF18aakuewf 2.10/9 -18.57 9.47+0.15
−0.10 −0.48+0.09
−0.08 9.91+0.12
−0.19 0.25+0.06
−0.03
ZTF18abcfcoo 56.74/24 -18.46 9.59+0.06
−0.12 −0.19+0.10
−0.13 9.93+0.10
−0.15 0.25+0.07
−0.04
ZTF18abfcmjw 0.61/14 -16.19 8.65+0.12
−0.14 −1.22+0.28
−0.23 9.89+0.13
−0.21 0.31+0.15
−0.08
ZTF18abukavn 9.85/19 -16.59 8.45+0.09
−0.08 −1.08+0.04
−0.07 9.81+0.18
−0.19 0.25+0.06
−0.03
ZTF18abvkmgw 2.09/15 -19.23 10.30+0.12
−0.13 0.37+0.32
−0.20 9.89+0.13
−0.23 0.58+0.43
−0.24
ZTF18abwkrbl 3.11/16 -19.58 10.19+0.08
−0.13 0.42+0.15
−0.14 9.91+0.12
−0.21 0.28+0.12
−0.06
ZTF19aakssbm 1.55/9 -17.76 9.64+0.17
−0.14 −0.61+0.22
−0.49 9.94+0.09
−0.13 0.28+0.11
−0.06
ZTF19aapfmki 5.75/17 -20.94 10.72+0.05
−0.07 0.89+0.07
−0.12 9.95+0.09
−0.12 0.25+0.06
−0.03
ZTF19abobxik 5.43/14 -18.32 9.42+0.13
−0.10 −0.54+0.06
−0.08 9.90+0.13
−0.19 0.25+0.06
−0.03
ZTF19abuvqgw 1.27/3 -12.66 6.51+0.56
−0.39 −2.21+0.37
−0.34 8.94+0.80
−0.38 0.37+0.58
−0.13
ZTF19abyjzvd 14.49/18 -19.83 9.87+0.20
−0.16 0.60+0.21
−0.25 9.66+0.22
−0.50 0.25+0.08
−0.04
ZTF19acayojs 4.23/10 -19.81 10.27+0.18
−0.31 0.67+0.37
−0.20 9.84+0.17
−0.63 0.28+0.15
−0.06
ZTF19accjfgv 10.75/11 -18.50 9.43+0.20
−0.18 0.01+0.29
−0.22 9.72+0.24
−0.55 0.33+0.19
−0.10
ZTF20aaelulu 1.22/10 -21.82 10.90+0.23
−0.14 1.46+0.22
−0.41 9.75+0.23
−0.52 0.43+0.49
−0.15
ZTF20aahfqpm 0.64/7 -19.52 9.57+0.19
−0.21 0.54+0.45
−0.25 9.23+0.55
−0.49 0.32+0.26
−0.09
ZTF20aaxhzhc 8.57/16 -18.02 9.25+0.07
−0.31 −0.53+0.31
−0.07 9.91+0.12
−0.49 0.25+0.06
−0.03
ZTF20aayrobw 5.93/13 -17.38 8.77+0.16
−0.15 −0.70+0.11
−0.09 9.78+0.20
−0.41 0.26+0.08
−0.04
ZTF20aazchcq 1.00/14 -18.53 9.49+0.20
−0.15 −0.24+0.19
−0.32 9.86+0.15
−0.21 0.25+0.08
−0.04
ZTF20abjbgjj 4.73/13 -17.98 9.16+0.24
−0.22 −0.19+0.37
−0.33 9.68+0.27
−0.62 0.34+0.26
−0.10
ZTF20aburywx 9.05/14 -19.46 10.15+0.13
−0.14 0.41+0.18
−0.21 9.88+0.14
−0.25 0.32+0.15
−0.09
ZTF20acigusw 4.68/18 -19.48 9.86+0.15
−0.15 0.46+0.20
−0.12 9.74+0.23
−0.50 0.26+0.11
−0.05
ZTF20aclfmwn 6.18/11 -20.65 10.70+0.09
−0.12 0.70+0.16
−0.16 9.93+0.10
−0.15 0.26+0.09
−0.0
ZTF18abvkwla 19.49/14 -19.34 9.32+0.16
−0.21 0.31+0.10
−0.10 9.29+0.22
−0.32 0.25+0.06
−0.03
ZTF19aatoboa 23.53/17 -19.65 9.91+0.18
−0.15 0.42+0.20
−0.16 9.78+0.21
−0.50 0.29+0.11
−0.06
ZTF19abfarpa 4.10/11 -17.56 8.76+0.18
−0.18 −0.64+0.33
−0.18 9.70+0.25
−0.56 0.28+0.11
−0.06
ZTF20aaivtof 2.95/11 -18.38 8.93+0.20
−0.27 −0.08+0.14
−0.41 9.22+0.64
−0.32 0.25+0.06
−0.03
ZTF20aakypiu 10.77/17 -21.28 11.67+0.04
−0.12 0.41+0.92
−0.10 9.78+0.09
−0.12 0.29+0.53
−0.07
ZTF20ababxjv 2.96/15 -19.66 10.31+0.17
−0.22 0.61+0.33
−0.25 9.84+0.17
−0.50 0.42+0.51
−0.16
ZTF20abmocba 10.15/16 -19.48 9.86+0.12
−0.38 0.18+0.36
−0.05 9.90+0.12
−0.66 0.26+0.11
−0.05
ZTF20abummyz 7.74/16 -20.01 10.04+0.17
−0.20 0.98+0.27
−0.26 9.26+0.55
−0.36 0.42+0.48
−0.14
ZTF20acigmel 4.62/3 -15.62 7.23+0.25
−0.19 −1.12+0.16
−0.15 8.71+0.35
−0.22 0.27+0.11
−0.0
